04/21/2020 07:08:43 PM | <string>:1 | WARNING | Fail Request
04/21/2020 07:08:47 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:08:49 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:08:51 PM | <string>:1 | CRITICAL | Dont access to DB
04/21/2020 07:08:53 PM | <string>:1 | INFO | OK Access to database
04/21/2020 07:08:55 PM | <string>:1 | WARNING | Fail Request
04/21/2020 07:08:57 PM | <string>:1 | INFO | OK Access to database
04/21/2020 07:08:59 PM | <string>:1 | INFO | OK Loggin Access
04/21/2020 07:09:01 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:09:03 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:09:05 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:09:07 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:09:09 PM | <string>:1 | CRITICAL | Dont work of sistems
04/21/2020 07:09:11 PM | <string>:1 | INFO | OK Loggin Access
04/21/2020 07:09:13 PM | <string>:1 | ERROR | error Request
04/21/2020 07:09:15 PM | <string>:1 | INFO | OK Access to database
04/21/2020 07:09:17 PM | <string>:1 | INFO | OK Access to Good Connections
04/21/2020 07:09:19 PM | <string>:1 | WARNING | Fail Request
04/21/2020 07:09:21 PM | <string>:1 | WARNING | Fail Request
04/21/2020 07:09:23 PM | <string>:1 | INFO | OK Access to database
04/21/2020 07:09:25 PM | <string>:1 | INFO | OK Access to Good Connections
04/21/2020 07:09:29 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:09:31 PM | <string>:1 | ERROR | error Request
04/21/2020 07:09:33 PM | <string>:1 | WARNING | Fail Request
04/21/2020 07:09:35 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:09:39 PM | <string>:1 | INFO | OK Access to database
04/21/2020 07:09:41 PM | <string>:1 | ERROR | error Request
04/21/2020 07:09:43 PM | <string>:1 | INFO | OK Access to Good Connections
04/21/2020 07:09:51 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:09:53 PM | <string>:1 | INFO | OK Access to Good Connections
04/21/2020 07:09:55 PM | <string>:1 | CRITICAL | Dont work of sistems
04/21/2020 07:09:57 PM | <string>:1 | CRITICAL | Dont work of sistems
04/21/2020 07:10:01 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:10:03 PM | <string>:1 | INFO | OK Access to Good Connections
04/21/2020 07:10:05 PM | <string>:1 | INFO | OK Backup of DB
04/21/2020 07:10:07 PM | <string>:1 | WARNING | Fail Request
04/21/2020 07:10:09 PM | <string>:1 | INFO | OK Loggin Access
04/21/2020 07:10:11 PM | <string>:1 | WARNING | Fail Request
04/21/2020 07:10:13 PM | <string>:1 | INFO | OK Loggin Access
04/21/2020 07:10:15 PM | <string>:1 | WARNING | Fail Request
04/21/2020 07:10:17 PM | <string>:1 | WARNING | Fail Request
04/21/2020 07:10:19 PM | <string>:1 | WARNING | Fail Request
04/21/2020 07:10:21 PM | <string>:1 | INFO | OK Access to database
04/21/2020 07:10:23 PM | <string>:1 | INFO | OK Access to database
04/21/2020 07:10:25 PM | <string>:1 | INFO | OK Access to Good Connections
